WORDS,,,MEANING,,,,,,,,,,,,
abdomen,the belly (which contain all digestive organs),,ABDOMEN:- (the belly (which contain all digestive organs)),,,,,,,,,,,,
abdominal,"area of abdomen ( belly,stomach related)",,"ABDOMINAL:- (area of abdomen ( belly,stomach related))",,,,,,,,,,,,
abnormal,deviating from what is normal,,ABNORMAL:- (deviating from what is normal),,,,,,,,,,,,
abnormalities,more than one abnormal feature,,ABNORMALITIES:- (more than one abnormal feature),,,,,,,,,,,,
abnormality,any abnormal feature/flaw,,ABNORMALITY:- (any abnormal feature/flaw),,,,,,,,,,,,
abnormally,"not normal,usual",,"ABNORMALLY:- (not normal,usual)",,,,,,,,,,,,
about,on the subject of concerning,,ABOUT:- (on the subject of concerning),,,,,,,,,,,,
above,in extended space over and not touching ,,ABOVE:- (in extended space over and not touching ),,,,,,,,,,,,
absence,the state of being away from a place or person,,ABSENCE:- (the state of being away from a place or person),,,,,,,,,,,,
abut,touch or lean on,,ABUT:- (touch or lean on),,,,,,,,,,,,
accentuated,make more prominent,,ACCENTUATED:- (make more prominent),,,,,,,,,,,,
accessed,approach a place,,ACCESSED:- (approach a place),,,,,,,,,,,,
accessory,a thing which can be added to something else in order to make it more useful,,ACCESSORY:- (a thing which can be added to something else in order to make it more useful),,,,,,,,,,,,
account,a report or description of financial expenditure,,ACCOUNT:- (a report or description of financial expenditure),,,,,,,,,,,,
accounting,the process or work of keep financial accounts,,ACCOUNTING:- (the process or work of keep financial accounts),,,,,,,,,,,,
acetabulum,cup shaped structure (socket of the hip bone),,ACETABULUM:- (cup shaped structure (socket of the hip bone)),,,,,,,,,,,,
acromioclavicular,joint in the shoulder (junction between collar bone and shoulder blade),,ACROMIOCLAVICULAR:- (joint in the shoulder (junction between collar bone and shoulder blade)),,,,,,,,,,,,
active,producing or involving action or movement,,ACTIVE:- (producing or involving action or movement),,,,,,,,,,,,
acuity,"sharpness of vision, hearing, thought",,"ACUITY:- (sharpness of vision, hearing, thought)",,,,,,,,,,,,
acute,conditions which are severe and onset,,ACUTE:- (conditions which are severe and onset),,,,,,,,,,,,
addition,the action or process of adding something to something else,,ADDITION:- (the action or process of adding something to something else),,,,,,,,,,,,
additional,added to what is already present,,ADDITIONAL:- (added to what is already present),,,,,,,,,,,,
additionally,as an extra factor,,ADDITIONALLY:- (as an extra factor),,,,,,,,,,,,
adenopathy,"swollen lymph nodes (release sweat,tears and hormones)",,"ADENOPATHY:- (swollen lymph nodes (release sweat,tears and hormones))",,,,,,,,,,,,
advanced,modern and recently developed technique,,ADVANCED:- (modern and recently developed technique),,,,,,,,,,,,
again,"returning to a previous condition, another time",,"AGAIN:- (returning to a previous condition, another time)",,,,,,,,,,,,
age,a distinct period of history,,AGE:- (a distinct period of history),,,,,,,,,,,,
age-indeterminate,not precisely determined,,AGE-INDETERMINATE:- (not precisely determined),,,,,,,,,,,,
air,the invisible gaseous substance surrounding the earth,,AIR:- (the invisible gaseous substance surrounding the earth),,,,,,,,,,,,
air-filled,full of air,,AIR-FILLED:- (full of air),,,,,,,,,,,,
airway,passage by which air reaches lungs,,AIRWAY:- (passage by which air reaches lungs),,,,,,,,,,,,
alignment,arranged in a straight line,,ALIGNMENT:- (arranged in a straight line),,,,,,,,,,,,
alveolar,bone of the jaw which contains tooth,,ALVEOLAR:- (bone of the jaw which contains tooth),,,,,,,,,,,,
ankle,area where foot and leg meets,,ANKLE:- (area where foot and leg meets),,,,,,,,,,,,
anterior,front of a body,,ANTERIOR:- (front of a body),,,,,,,,,,,,
anterolateral,the front and side part of body (anterior and lateral),,ANTEROLATERAL:- (the front and side part of body (anterior and lateral)),,,,,,,,,,,,
aorta,a large artery of heart carry oxygenated blood from heart to body parts,,AORTA:- (a large artery of heart carry oxygenated blood from heart to body parts),,,,,,,,,,,,
aortic,a valve in heart (between aorta and left ventricle),,AORTIC:- (a valve in heart (between aorta and left ventricle)),,,,,,,,,,,,
aorticopulmonary,a septum in heart seperated aorta and pulmonary arteries,,AORTICOPULMONARY:- (a septum in heart seperated aorta and pulmonary arteries),,,,,,,,,,,,
arteries,blood vessels that deliver oxygenated blood from heart to tissues of body,,ARTERIES:- (blood vessels that deliver oxygenated blood from heart to tissues of body),,,,,,,,,,,,
artery,a single blood vessel carring oxygenated blood to tissues from heart,,ARTERY:- (a single blood vessel carring oxygenated blood to tissues from heart),,,,,,,,,,,,
arthritis,"swelling, tenderness of joint ( associated with pain of joints)",,"ARTHRITIS:- (swelling, tenderness of joint ( associated with pain of joints))",,,,,,,,,,,,
arthroplasty,surgical procedure to restore function of joint,,ARTHROPLASTY:- (surgical procedure to restore function of joint),,,,,,,,,,,,
articular,a covering at the ends of the joint of bone (avoid friction),,ARTICULAR:- (a covering at the ends of the joint of bone (avoid friction)),,,,,,,,,,,,
articulation,movable joint (junction between bones for motion),,ARTICULATION:- (movable joint (junction between bones for motion)),,,,,,,,,,,,
artifact,"misrepresentation of structure in X-rays, CT scan, MRI, ultrasound",,"ARTIFACT:- (misrepresentation of structure in X-rays, CT scan, MRI, ultrasound)",,,,,,,,,,,,
artifacts,more than one misrepresentation in X-rays etc,,ARTIFACTS:- (more than one misrepresentation in X-rays etc),,,,,,,,,,,,
asbestos,a lung disease cause by breathing fiber particles,,ASBESTOS:- (a lung disease cause by breathing fiber particles),,,,,,,,,,,,
asymmetric,"lacking symmetry, uneven, unbalanced",,"ASYMMETRIC:- (lacking symmetry, uneven, unbalanced)",,,,,,,,,,,,
atherosclerosis,medical condition thickening and hardening of arteries (deposit of plaque in artery),,ATHEROSCLEROSIS:- (medical condition thickening and hardening of arteries (deposit of plaque in artery)),,,,,,,,,,,,
atherosclerotic,a person with atherosclerosis,,ATHEROSCLEROTIC:- (a person with atherosclerosis),,,,,,,,,,,,
biapical,thickening on screening chest X rays,,BIAPICAL:- (thickening on screening chest X rays),,,,,,,,,,,,
bibasal,partial collapse of lungs,,BIBASAL:- (partial collapse of lungs),,,,,,,,,,,,
bihilar,hilium of the lung,,BIHILAR:- (hilium of the lung),,,,,,,,,,,,
biliary,system which consists of organs and ducts,,BILIARY:- (system which consists of organs and ducts),,,,,,,,,,,,
bochdalek,common type of hernia,,BOCHDALEK:- (common type of hernia),,,,,,,,,,,,
bone-on-bone,increase of osteoarthiritis in a joint,,BONE-ON-BONE:- (increase of osteoarthiritis in a joint),,,,,,,,,,,,
bowel,part below stomach,,BOWEL:- (part below stomach),,,,,,,,,,,,
brachiocephalic,artery that supplies blood to the right arm,,BRACHIOCEPHALIC:- (artery that supplies blood to the right arm),,,,,,,,,,,,
bronchi,two large tubes that carry air to lungs,,BRONCHI:- (two large tubes that carry air to lungs),,,,,,,,,,,,
bronchiectasis,airways of lungs become widened,,BRONCHIECTASIS:- (airways of lungs become widened),,,,,,,,,,,,
bronchitis,infection in the main airways,,BRONCHITIS:- (infection in the main airways),,,,,,,,,,,,
bullae,blisters on skin filled with fluid,,BULLAE:- (blisters on skin filled with fluid),,,,,,,,,,,,
bullous,rare skin disease that causes blisters on skin,,BULLOUS:- (rare skin disease that causes blisters on skin),,,,,,,,,,,,
